vtkOriginalIndices,Py,Pz,Y,Z,__vtkIsSelected__
294,-5.07917e-020,3.14975e-020,-0.00305353,0.00233603,0
295,1.6315e-020,-1.89503e-020,-0.00311904,0.00233121,0
296,-4.30023e-020,2.7381e-020,-0.00308147,0.00227087,0
297,-3.62655e-020,1.95503e-020,-0.00305674,0.00237785,0
298,3.83779e-020,-3.69136e-020,-0.00312226,0.00237304,0
299,-2.90577e-020,1.58565e-020,-0.00308468,0.0023127,0
300,3.31031e-021,9.28016e-021,0.000323602,0.00177734,0
301,7.29743e-021,1.0109e-020,0.00037808,0.00185465,0
302,4.2181e-021,1.1254e-020,0.000432557,0.00193196,0
303,3.90791e-021,9.96524e-021,0.000293081,0.00185783,0
304,6.24398e-021,1.27487e-020,0.000347559,0.00193513,0
305,2.25455e-021,1.35481e-020,0.000262561,0.00193831,0
306,8.42378e-021,9.02169e-021,0.000331588,0.00182994,0
307,8.78729e-021,1.16403e-020,0.000386065,0.00190725,0
308,4.53601e-021,1.16335e-020,0.000301067,0.00191042,0
309,-2.39193e-021,1.19257e-020,0.000611946,0.0011941,0
310,-2.92028e-021,1.01681e-020,0.000521986,0.00121091,0
311,-3.46238e-021,8.36091e-021,0.000432026,0.00122773,0
312,-6.14004e-023,9.98189e-021,0.000559343,0.00112694,0
313,-4.95491e-022,8.41681e-021,0.000469383,0.00114375,0
314,1.93345e-021,8.26489e-021,0.00050674,0.00105978,0
315,-1.67321e-021,1.07077e-020,0.000564425,0.00117732,0
316,-2.1482e-021,9.09047e-021,0.000474465,0.00119413,0
317,4.91847e-022,8.87713e-021,0.000511822,0.00111016,0
318,3.72592e-021,7.85719e-021,0.00054477,0.00102932,0
319,3.9891e-021,8.5677e-021,0.000621506,0.0010219,0
320,4.24454e-021,9.25918e-021,0.000698241,0.00101448,0
321,1.62673e-021,9.74359e-021,0.000597374,0.00109648,0
322,1.86352e-021,1.04214e-020,0.000674109,0.00108906,0
323,-4.65585e-022,1.16126e-020,0.000649977,0.00116364,0
324,2.88929e-021,8.90135e-021,0.000587883,0.00104923,0
325,3.13063e-021,9.52909e-021,0.000664619,0.00104181,0
326,1.0426e-021,1.05742e-020,0.000640487,0.00111639,0
327,2.90601e-021,8.90418e-021,-0.00118308,0.00319574,0
328,-9.61672e-021,1.16874e-020,-0.00112202,0.00327254,0
329,-2.3811e-020,1.49003e-020,-0.00106096,0.00334935,0
330,9.31887e-022,1.01916e-020,-0.00121745,0.00327611,0
331,-1.24891e-020,1.32936e-020,-0.00115638,0.00335292,0
332,-1.18397e-021,1.16893e-020,-0.00125181,0.00335649,0
333,-1.88322e-021,1.0249e-020,-0.00117418,0.00324813,0
334,-1.47505e-020,1.31168e-020,-0.00111312,0.00332494,0
335,-4.01679e-021,1.15942e-020,-0.00120855,0.00332851,0
336,4.88566e-021,8.32175e-021,-0.00123411,0.00317365,0
337,2.63276e-021,9.80659e-021,-0.00126848,0.00325403,0
338,2.58835e-022,1.13695e-020,-0.00130284,0.00333441,0
339,-6.40586e-021,7.37782e-021,-0.00132614,0.0031842,0
340,-8.65895e-021,8.64765e-021,-0.00136051,0.00326457,0
341,-1.74342e-020,6.12309e-021,-0.00141817,0.00319474,0
342,2.04388e-022,8.62772e-021,-0.00127624,0.00320396,0
343,-1.88565e-021,9.93696e-021,-0.00131061,0.00328434,0
344,-1.08404e-020,7.37405e-021,-0.00136827,0.0032145,0
345,-1.96465e-020,1.41675e-020,-0.00101746,0.00331842,0
346,-5.98936e-021,1.11231e-020,-0.00107852,0.00324161,0
347,7.62309e-021,8.46358e-021,-0.00113958,0.00316481,0
348,3.03147e-021,1.37855e-020,-0.00098239,0.0032292,0
349,1.72418e-020,1.13282e-020,-0.00104345,0.0031524,0
350,2.67934e-020,1.41729e-020,-0.000947322,0.00313999,0
351,-7.41002e-021,1.3012e-020,-0.00102612,0.00326308,0
352,5.66794e-021,1.00598e-020,-0.00108719,0.00318627,0
353,1.44814e-020,1.26784e-020,-0.000991055,0.00317386,0
354,4.53029e-021,7.94481e-021,-0.00124353,0.00312233,0
355,-4.53217e-021,6.19907e-021,-0.00133556,0.00313287,0
356,-1.18734e-020,6.05703e-021,-0.00142759,0.00314342,0
357,1.00582e-020,5.49258e-021,-0.00130616,0.00304875,0
358,1.11969e-021,3.22415e-021,-0.00139819,0.00305929,0
359,2.09621e-020,6.07065e-022,-0.00136879,0.00297516,0
360,4.5278e-021,5.78343e-021,-0.00129509,0.00310132,0
361,-6.74337e-021,4.48525e-021,-0.00138712,0.00311186,0
362,1.04368e-020,3.25146e-021,-0.00135772,0.00302773,0
363,5.79635e-022,2.20058e-020,-0.0008001,0.00259938,0
364,1.39619e-021,2.23876e-020,-0.000822283,0.00268839,0
365,2.3112e-021,2.37632e-020,-0.000844465,0.0027774,0
366,-2.65804e-021,1.86443e-020,-0.000887144,0.0026184,0
367,-1.55883e-021,1.87558e-020,-0.000909327,0.00270741,0
368,-5.94445e-021,1.5231e-020,-0.000974189,0.00263742,0
369,-1.60143e-022,1.99446e-020,-0.000836509,0.00263539,0
370,6.37822e-022,2.1172e-020,-0.000858692,0.0027244,0
